,seedbox_name,is_file,last_update_time,downloaded
91,Superman.Red.Son.2020.1080p.WEB-DL.DD5.1.x264-CMRG,0,2020-03-22 08:08:04.997486,0
92,Team.America.World.Police.2004.1080p.BluRay.x264-CiNEFiLE,0,2020-03-22 08:08:04.997486,0
93,Teen.Titans.Go.S06E10.Were.Off.to.Get.Awards.720p.AMZN.WEB-DL.DDP2.0.H.264-LAZY,0,2020-03-22 08:08:04.997486,0
94,Teen.Titans.Go.S06E11.Magic.Man.AMZN.WEB-DL.DDP2.0.H.264-LAZY,0,2020-03-22 08:08:04.997486,0
95,The.Banker.2020.1080p.ATVP.WEB-DL.DDP5.1.ATMOS.H264-CMRG,0,2020-03-22 08:08:04.997486,0
96,The.Flash.2014.S06E09.720p.WEB.h264-TRUMP,0,2020-03-22 08:08:04.997486,0
97,The.Flash.2014.S06E10.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
98,The.Flash.2014.S06E11.720p.HDTV.x264-KILLERS,0,2020-03-22 08:08:04.997486,0
99,The.Flash.2014.S06E12.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
100,The.Flash.2014.S06E12.iNTERNAL.720p.WEB.h264-HILLARY,0,2020-03-22 08:08:04.997486,0
101,The.Flash.2014.S06E13.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
102,The.Flash.2014.S06E14.720p.HDTV.x264-SVA,0,2020-03-22 08:08:04.997486,0
103,The.Flash.2014.S06E14.iNTERNAL.720p.WEB.h264-TRUMP,0,2020-03-22 08:08:04.997486,0
104,The.Flash.2014.S06E15.The.Exorcism.of.Nash.Wells.720p.AMZN.WEB-DL.DDP5.1.H.264-NTb,0,2020-03-22 08:08:04.997486,0
105,The.Good.Girl.DVDRip.XviD-DVL,0,2020-03-22 08:08:04.997486,0
106,The.Good.Place.S04E00.Series.Finale.Aftershow.720p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
107,The.Good.Place.S04E01.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
108,The.Good.Place.S04E02.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
109,The.Good.Place.S04E03.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
110,The.Good.Place.S04E04.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
111,The.Good.Place.S04E05.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
112,The.Good.Place.S04E06.iNTERNAL.1080p.WEB.h264-BAMBOOZLE,0,2020-03-22 08:08:04.997486,0
113,The.Good.Place.S04E07.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
114,The.Good.Place.S04E08.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
115,The.Good.Place.S04E09.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
116,The.Good.Place.S04E10.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
117,The.Good.Place.S04E11.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
118,The.Good.Place.S04E12.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
119,The.Good.Place.S04E13.1080p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
120,The.Hunt.2020.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
121,The.Invisible.Man.2020.1080p.WEB-DL.H264.AC3-EVO,0,2020-03-22 08:08:04.997486,0
122,The.Outsider.2020.S01E06.The.One.About.The.Yiddish.Vampire.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb,0,2020-03-22 08:08:04.997486,0
123,The.Room.2019.BRRip.XviD.AC3-EVO,0,2020-03-22 08:08:04.997486,0
124,The.Walking.Dead.S10E09.REPACK.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
125,The.Walking.Dead.S10E10.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
126,The.Walking.Dead.S10E10.iNTERNAL.720p.WEB.h264-BAMBOOZLE,0,2020-03-22 08:08:04.997486,0
127,The.Walking.Dead.S10E11.720p.HEVC.x265-MeGusta,0,2020-03-22 08:08:04.997486,0
128,The.Walking.Dead.S10E12.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
129,The.Walking.Dead.S10E13.720p.WEB.H264-XLF,0,2020-03-22 08:08:04.997486,0
130,UFC.247.PPV.720p.HDTV.x264-VERUM,0,2020-03-22 08:08:04.997486,0
131,Warhammer Online - Age of Reckoning,0,2020-03-22 08:08:04.997486,0
132,current_dls.csv,1,2020-03-22 08:08:04.997486,0
133,your.name.2160p.HDR.BluRay.Remux.FLAC5.1.H265-CTR.[2CE04B17].mkv,1,2020-03-22 08:08:04.997486,0
